"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"185552","occ","","","18208","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","781"
"185553","occ","5771","","18208","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","6294"
"185554","occ","","","18208","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","781"
"185555","occ","","","18208","Peridiomys rusticus","species","50165","Barstovian","","15.97","13.6","781"
"185587","occ","","","18209","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"185588","occ","","","18209","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185626","occ","","","18212","Lignimus","genus","41682","Clarendonian","","13.6","10.3","3296"
"185746","occ","","","18223","Heteromyidae","family","41673","Barstovian","","15.97","13.6","712"
"185768","occ","5829","","18225","Heteromyinae","subfamily","163515","Hemphillian","","10.3","4.9","3510"
"185907","occ","5865","","18240","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","6294"
"185908","occ","","","18240","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185909","occ","5866","","18240","Mioheteromys","genus","41684","Barstovian","","15.97","13.6","6294"
"185910","occ","","","18240","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3510"
"186058","occ","","","18259","Cupidinimus nebraskensis","species","45396","Miocene","","23.03","5.333","3510"
"186085","occ","","","18261","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"186086","occ","","","18261","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3510"
"186140","occ","5913","","18268","Perognathus coquorum","species","50195","Clarendonian","","13.6","10.3","6294"
"186141","occ","","","18268","Cupidinimus","genus","41676","Clarendonian","","13.6","10.3","1710"
"186199","occ","","","18275","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"186247","occ","","","18281","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"186248","occ","","","18281","Peridiomys borealis","species","50160","Barstovian","","15.97","13.6","2132"
"186288","occ","10110","","18284","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"186289","occ","5961","","18284","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","2108"
"186290","occ","","","18284","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","7564"
"186291","occ","10111","","18284","Cupidinimus","genus","41676","Barstovian","","15.97","13.6","6294"
"186292","occ","5963","","18284","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"186295","occ","","","18284","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3510"
"186352","occ","","","18292","Lignimus","genus","41682","Barstovian","","15.97","13.6","3296"
"186423","occ","","","18303","Heteromyidae","family","41673","Barstovian","","15.97","13.6","1717"
"186500","occ","","","18313","Cupidinimus nebraskensis","species","45396","Miocene","","23.03","5.333","3510"
"186522","occ","","","18315","Heteromyidae","family","41673","Clarendonian","","13.6","10.3","3475"
"186609","occ","","","18324","Mioheteromys amplissimus","species","48700","Clarendonian","","13.6","10.3","2133"
"186657","occ","","","18327","Diprionomys agrarius","species","45848","Late Clarendonian","","13.6","10.3","2136"
"186658","occ","","","18327","Cupidinimus prattensis","species","45397","Late Clarendonian","","13.6","10.3","2136"
"186659","occ","","","18327","Lignimus","genus","41682","Late Clarendonian","","13.6","10.3","2136"
"186688","occ","","","18332","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"186689","occ","6072","","18332","Cupidinimus","genus","41676","Barstovian","","15.97","13.6","6294"
"186764","occ","","","18344","Perognathus trojectioansrum","species","50228","Clarendonian","","13.6","10.3","3356"
"186795","occ","","","18350","Cupidinimus nebraskensis","species","45396","Miocene","","23.03","5.333","3510"
"186796","occ","6101","","18350","Mioheteromys","genus","41684","Miocene","","23.03","5.333","6294"
"186814","occ","6108","","18353","Cupidinimus","genus","41676","Barstovian","","15.97","13.6","6294"
"186866","occ","6122","","18359","Heteromyinae","subfamily","163515","Late Hemphillian","","10.3","4.9","6294"
"186920","occ","6136","","18366","Mioheteromys","genus","41684","Clarendonian","","13.6","10.3","6294"
"186957","occ","","","18376","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"187034","occ","","","18397","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","2129"
"187035","occ","","","18397","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","2129"
"187036","occ","","","18397","Cupidinimus smaragdinus","species","45400","Barstovian","","15.97","13.6","2129"
"187037","occ","6172","","18397","Mioheteromys arcarius","species","45849","Barstovian","","15.97","13.6","2129"
"187038","occ","","","18397","Lignimus austridakotensis","species","47664","Barstovian","","15.97","13.6","2129"
"187140","occ","6202","","18424","Heteromyinae","subfamily","163515","Clarendonian","Hemphillian","13.6","4.9","6294"
"187176","occ","","","18434","Diprionomys agrarius","species","45848","Clarendonian","","13.6","10.3","2132"
"187177","occ","","","18435","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","1018"
"187218","occ","","","18442","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","1467"
"187219","occ","","","18442","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"187220","occ","","","18442","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","7564"
"187276","occ","","","18443","Heteromyidae","family","41673","Barstovian","","15.97","13.6","5714"
"187356","occ","6271","","18450","Heteromyinae","subfamily","163515","Clarendonian","","13.6","10.3","6294"
"187370","occ","6278","","18452","Cupidinimus prattensis","species","45397","Clarendonian","","13.6","10.3","6294"
"187380","occ","","","18454","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"187381","occ","","","18454","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"187605","occ","","","18498","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"187610","occ","6368","","18499","Perognathus coquorum","species","50195","Hemphillian","","10.3","4.9","6294"
"187659","occ","","","18508","Heteromyidae","family","41673","Miocene","","23.03","5.333","6224"
"187690","occ","","","18512","Proheteromys floridanus","species","50773","Late Hemingfordian","","20.43","15.97","2614"
"187790","occ","","","18538","Perognathus minutus","species","50216","Early Barstovian","","15.97","13.6","1145"
"187833","occ","","","18549","Perognathus minutus","species","50216","Early Barstovian","","15.97","13.6","1145"
"187960","occ","6505","","18561","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","6294"
"187961","occ","","","18561","Proheteromys floridanus","species","50773","Hemingfordian","","20.43","15.97","3135"
"188088","occ","6546","","18579","Harrymys magnus","species","50779","Early Hemingfordian","","20.43","15.97","6294"
"188138","occ","","","18586","Proheteromys floridanus","species","50773","Hemingfordian","","20.43","15.97","2692"
"188176","occ","6577","","18597","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","6294"
"188177","occ","","","18597","Proheteromys floridanus","species","50773","Hemingfordian","","20.43","15.97","2690"
"188334","occ","","","18619","Heteromyidae","family","41673","Barstovian","","15.97","13.6","3033"
"188585","occ","","","18663","Proheteromys sabinensis","species","50784","Aquitanian","","23.03","20.44","934"
"188586","occ","","","18663","Proheteromys toledoensis","species","50787","Aquitanian","","23.03","20.44","934"
"188917","occ","6841","","18755","Heteromyinae","subfamily","163515","Late Hemphillian","","10.3","4.9","6294"
"188918","occ","","","18755","Prodipodomys idahoensis","species","50759","Late Hemphillian","","10.3","4.9","2245"
"188994","occ","","","18759","Harrymys canadensis","species","46811","Barstovian","","15.97","13.6","2125"
