Species	Status	min_age	max_age
Mookomys_subtilis	extinct	13.6	15.97
Proheteromys_sulculus	extinct	13.6	15.97
Cupidinimus_boronensis	extinct	13.6	15.97
Proheteromys_sulculus	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Peridiomys_oregonensis	extinct	13.6	15.97
Diprionomys_parvus	extinct	13.6	15.97
Perognathus_minutus	extinct	10.3	13.6
Perognathus	extinct	10.3	13.6
Cupidinimus_avawatzensis	extinct	10.3	13.6
Cupidinimus	extinct	10.3	13.6
Cupidinimus_lindsayi	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_furlongi	extinct	10.3	13.6
Perognathus_minutus	extinct	10.3	13.6
Cupidinimus_halli	extinct	13.6	15.97
Heteromyinae	extinct	15.97	20.43
Mookomys_formicarum	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Trogomys_rupinimenthae	extinct	15.97	20.43
Cupidinimus_boronensis	extinct	15.97	20.43
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Mookomys_formicarum	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
Cupidinimus_halli	extinct	13.6	15.97
Mookomys_formicarum	extinct	13.6	15.97
Cupidinimus_lindsayi	extinct	13.6	15.97
