"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"195518","occ","9074","","20108","Prodipodomys minor","species","50762","recombined as","Dipodomys minor","species","45829","Blancan","","4.9","1.8","6294"
"195531","occ","","","20112","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195532","occ","","","20112","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195577","occ","","","20115","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195578","occ","","","20115","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195593","occ","","","20116","Dipodomys hibbardi","species","45824","","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195628","occ","","","20118","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195735","occ","","","20122","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195768","occ","","","20123","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Irvingtonian","","1.8","0.3","1186"
"195824","occ","","","20125","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Irvingtonian","","1.8","0.3","1186"
"195885","occ","","","20127","Dipodomys compactus","species","45821","","Dipodomys compactus","species","45821","Irvingtonian","","1.8","0.3","1186"
"196008","occ","9178","","20143","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196047","occ","","","20146","Dipodomys ordii","species","45830","","Dipodomys ordii","species","45830","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"196120","occ","9203","","20157","Chaetodipus cf. hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196157","occ","","","20163","Chaetodipus cf. hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6202"
"196181","occ","","","20164","Dipodomys n. sp. pattersoni","species","45831","","Dipodomys pattersoni","species","45831","Irvingtonian","","1.8","0.3","1319"
"196201","occ","9216","","20165","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196203","occ","","","20165","Dipodomys cf. ordii","species","45830","","Dipodomys ordii","species","45830","Irvingtonian","","1.8","0.3","3081"
"196221","occ","9221","","20167","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196923","occ","9370","","20295","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196925","occ","","","20295","Dipodomys cf. ordii","species","45830","","Dipodomys ordii","species","45830","Irvingtonian","","1.8","0.3","1907"
"197243","occ","9435","","20318","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"197387","occ","9458","","20332","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"197429","occ","9468","","20341","Prodipodomys gidleyi","species","50756","recombined as","Dipodomys gidleyi","species","45823","Irvingtonian","","1.8","0.3","2040"
"197472","occ","9489","","20344","Prodipodomys gidleyi","species","50756","recombined as","Dipodomys gidleyi","species","45823","Irvingtonian","","1.8","0.3","6294"
"197660","occ","","","20360","Dipodomys ordii","species","45830","","Dipodomys ordii","species","45830","Middle Pleistocene","","0.781","0.126","2939"
"197880","occ","","","20389","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Irvingtonian","","1.8","0.3","2441"
"197908","occ","9590","","20390","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"197939","occ","9597","","20391","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"198214","occ","","","20427","Perognathus cf. gidleyi","species","50204","","Perognathus gidleyi","species","50204","Irvingtonian","","1.8","0.3","1463"
"198215","occ","","","20427","Perognathus cf. pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Irvingtonian","","1.8","0.3","1463"
"198300","occ","","","20442","Prodipodomys cf. idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Irvingtonian","","1.8","0.3","2887"
"198836","occ","","","20515","Dipodomys merriami","species","45828","","Dipodomys merriami","species","45828","Irvingtonian","","1.8","0.3","2879"
"198837","occ","","","20515","Dipodomys cf. deserti","species","45822","","Dipodomys deserti","species","45822","Irvingtonian","","1.8","0.3","2879"
"198896","occ","","","20523","Perognathus pearlettensis","species","50219","","Perognathus pearlettensis","species","50219","Irvingtonian","","1.8","0.3","2431"
"198947","occ","9785","","20530","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"199138","occ","9827","","20560","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6202"
"199551","occ","9876","","20605","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Late Pleistocene","","0.126","0.0117","6294"
"199553","occ","","","20605","Dipodomys cf. ordii","species","45830","","Dipodomys ordii","species","45830","Late Pleistocene","","0.126","0.0117","1907"
"199666","occ","9892","","20617","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Late Pleistocene","","0.126","0.0117","6294"
"199712","occ","9897","","20623","Chaetodipus cf. formosus","species","45037","","Chaetodipus formosus","species","50202","Late Pleistocene","","0.126","0.0117","6294"
"199713","occ","","","20623","Dipodomys cf. agilis","species","45820","","Dipodomys agilis","species","45820","Late Pleistocene","","0.126","0.0117","2018"
"270974","occ","","","26019","Stratimus strobeli","species","51825","","Stratimus strobeli","species","51825","Hemingfordian","","20.43","15.97","2152"
"287257","occ","10122","","18165","Mioheteromys agrarius","species","48699","recombined as","Diprionomys agrarius","species","45848","Barstovian","","15.97","13.6","2132"
"599828","occ","","","63708","Dipodomys cf. merriami","species","45828","","Dipodomys merriami","species","45828","Holocene","","0.0117","0","18308"
"599912","occ","","","63715","Dipodomys cf. merriami","species","45828","","Dipodomys merriami","species","45828","Holocene","","0.0117","0","18307"
"647055","occ","","","17709","Proheteromys fedti","species","50772","recombined as","Proharrymys fedti","species","50772","Geringian","","30.8","26.3","19303"
"647056","occ","31387","","17709","Proharrymys n. sp. wahlerti","species","322048","","Proharrymys wahlerti","species","322048","Geringian","","30.8","26.3","55528"
"647057","occ","","","17709","Kirkomys schlaikjeri","species","47442","recombined as","Proharrymys schlaikjeri","species","46829","Geringian","","30.8","26.3","19303"
"647083","occ","","","67637","Schizodontomys cf. harkseni","species","51449","","Schizodontomys harkseni","species","46719","Monroecreekian","","26.3","24.8","19303"
"648725","occ","","","69806","Dikkomys matthewi","species","45737","","Dikkomys matthewi","species","45737","Harrisonian","","24.8","20.43","19303"
"648737","occ","","","69807","Schizodontomys cf. harkseni","species","51449","","Schizodontomys harkseni","species","46719","Harrisonian","","24.8","20.43","19303"
"648752","occ","","","69808","Schizodontomys amnicolus","species","51447","","Schizodontomys amnicolus","species","51447","Early Hemingfordian","","20.43","15.97","19303"
"648753","occ","","","69808","Stratimus strobeli","species","51825","","Stratimus strobeli","species","51825","Early Hemingfordian","","20.43","15.97","19303"
"648754","occ","","","69808","Harrymys magnus","species","46813","","Harrymys magnus","species","50779","Early Hemingfordian","","20.43","15.97","19303"
"648765","occ","","","69915","Schizodontomys amnicolus","species","51447","","Schizodontomys amnicolus","species","51447","Early Hemingfordian","","20.43","15.97","19303"
"648766","occ","","","69915","Harrymys magnus","species","46813","","Harrymys magnus","species","50779","Early Hemingfordian","","20.43","15.97","19303"
"648775","occ","","","69916","Dikkomys matthewi","species","45737","","Dikkomys matthewi","species","45737","Early Hemingfordian","","20.43","15.97","19303"
"648782","occ","","","26019","Harrymys magnus","species","46813","","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","19303"
"648789","occ","","","17892","Harrymys magnus","species","46813","","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","19303"
"648808","occ","","","17963","Schizodontomys amnicolus","species","51447","","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","19303"
"648820","occ","","","17889","Peridiomys rusticus","species","50165","","Peridiomys rusticus","species","50165","Late Hemingfordian","","20.43","15.97","19303"
"661499","occ","","","71264","Chaetodipus hispidus","species","45039","","Chaetodipus hispidus","species","50207","Late Pleistocene","","0.126","0.0117","24062"
"661500","occ","","","71264","Perognathus huastecensis","species","160969","","Perognathus huastecensis","species","160969","Late Pleistocene","","0.126","0.0117","24062"
"661501","occ","","","71264","Liomys irroratus","species","47712","","Liomys irroratus","species","46953","Late Pleistocene","","0.126","0.0117","24062"
"661873","occ","","","71308","Liomys irroratus","species","47712","","Liomys irroratus","species","46953","Late Pleistocene","","0.126","0.0117","24035"
"662208","occ","","","71345","Liomys irroratus","species","47712","","Liomys irroratus","species","46953","Late Pleistocene","","0.126","0.0117","24078"
"691196","occ","","","74473","Perognathus hispidus","species","50207","recombined as","Chaetodipus hispidus","species","50207","Late Pleistocene","","0.126","0.0117","1326"
"691198","occ","","","74473","Perognathus flavus","species","50200","","Perognathus flavus","species","50200","Late Pleistocene","","0.126","0.0117","1326"
"691199","occ","","","74473","Dipodomys ordii","species","45830","","Dipodomys ordii","species","45830","Late Pleistocene","","0.126","0.0117","1326"
"691200","occ","","","74473","Dipodomys merriami","species","45828","","Dipodomys merriami","species","45828","Late Pleistocene","","0.126","0.0117","1326"
"691201","occ","","","74473","Dipodomys spectabilis","species","45832","","Dipodomys spectabilis","species","45832","Late Pleistocene","","0.126","0.0117","1326"
"691235","occ","","","74474","Perognathus hispidus","species","50207","recombined as","Chaetodipus hispidus","species","50207","Holocene","","0.0117","0","1326"
"691236","occ","","","74474","Perognathus flavus","species","50200","","Perognathus flavus","species","50200","Holocene","","0.0117","0","1326"
"691237","occ","","","74474","Dipodomys ordii","species","45830","","Dipodomys ordii","species","45830","Holocene","","0.0117","0","1326"
"691238","occ","","","74474","Dipodomys merriami","species","45828","","Dipodomys merriami","species","45828","Holocene","","0.0117","0","1326"
"691239","occ","","","74474","Dipodomys spectabilis","species","45832","","Dipodomys spectabilis","species","45832","Holocene","","0.0117","0","1326"
"710015","occ","","","76060","Perognathus cf. flavus","species","50200","","Perognathus flavus","species","50200","Late Pleistocene","","0.126","0.0117","25748"
"710032","occ","","","76060","Dipodomys cf. spectabilis","species","45832","","Dipodomys spectabilis","species","45832","Late Pleistocene","","0.126","0.0117","25748"
"740579","occ","","","79632","Perognathus hispidus","species","50207","recombined as","Chaetodipus hispidus","species","50207","Late Pleistocene","","0.126","0.0117","26750"
"839066","occ","","","93141","Perognathus flavus","species","50200","","Perognathus flavus","species","50200","Late Pleistocene","","0.126","0.0117","31472"
"839067","occ","","","93141","Perognathus intermedius","species","50209","recombined as","Chaetodipus intermedius","species","50209","Late Pleistocene","","0.126","0.0117","31472"
"839068","occ","","","93141","Dipodomys ordii","species","45830","","Dipodomys ordii","species","45830","Late Pleistocene","","0.126","0.0117","31472"
"839069","occ","","","93141","Dipodomys spectabilis","species","45832","","Dipodomys spectabilis","species","45832","Late Pleistocene","","0.126","0.0117","31472"
"839070","occ","","","93141","Dipodomys merriami","species","45828","","Dipodomys merriami","species","45828","Late Pleistocene","","0.126","0.0117","31472"
"841259","occ","","","93258","Perognathus intermedius","species","50209","recombined as","Chaetodipus intermedius","species","50209","Pleistocene","Holocene","2.588","0","31531"
"841428","occ","","","93281","Perodipus montanus","species","161540","recombined as","Dipodomys ordii montanus","subspecies","161539","Late Pleistocene","","0.126","0.0117","31547"
"841696","occ","","","93326","Perognathus cf. formosus","species","50202","recombined as","Chaetodipus formosus","species","50202","Late Pleistocene","Holocene","0.126","0","31567"
"841698","occ","","","93326","Dipodomys microps","species","161716","","Dipodomys microps","species","161715","Late Pleistocene","Holocene","0.126","0","31567"
"841953","occ","","","93374","Dipodomys spectabilis","species","45832","","Dipodomys spectabilis","species","45832","Late Pleistocene","Holocene","0.126","0","31595"
"847951","occ","","","94334","n. gen. Metaliomys n. sp. sevierensis","species","163517","","Metaliomys sevierensis","species","163517","Hemphillian","","10.3","4.9","32080"
"847952","occ","","","94334","Diprionomys cf. minimus","species","45851","","Diprionomys minimus","species","46117","Hemphillian","","10.3","4.9","32080"
"847956","occ","","","19095","Diprionomys n. sp. minimus","species","45851","","Diprionomys minimus","species","46117","Hemphillian","","10.3","4.9","32080"
"1207911","occ","","","18803","Perognathoides n. sp. madisonensis","species","50183","subjective synonym of","Cupidinimus halli","species","50181","Early Barstovian","","15.97","13.6","51386"
"1263647","occ","","","167840","Cupidinimus cf. lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Early Hemingfordian","","20.43","15.97","54866"
"1263678","occ","","","167842","Cupidinimus cf. lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Early Hemingfordian","","20.43","15.97","54866"
"1263692","occ","","","167845","Cupidinimus cf. lindsayi","species","45392","","Cupidinimus lindsayi","species","45392","Early Hemingfordian","","20.43","15.97","54210"
"1281532","occ","","","170168","Proharrymys wahlerti","species","322048","","Proharrymys wahlerti","species","322048","Whitneyan","","33.3","30.8","55534"
"1282375","occ","","","170308","Schizodontomys greeni","species","51448","","Schizodontomys greeni","species","51448","late Late Arikareean","","30.8","20.43","9853"
"1317388","occ","","","17976","Mioheteromys n. sp. subterior","species","337670","","Mioheteromys subterior","species","337670","Early Barstovian","","15.97","13.6","58390"
"1321767","occ","","","19233","Proheteromys sulculus","species","50785","","Proheteromys sulculus","species","50785","Miocene","","23.03","5.333","58824"
